nSeq,A1,Activity
8,511.0,elevacion_reggaeton
9,508.0,elevacion_reggaeton
10,515.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,519.0,elevacion_reggaeton
13,519.0,elevacion_reggaeton
14,515.0,elevacion_reggaeton
15,511.0,elevacion_reggaeton
0,508.0,elevacion_reggaeton
1,511.0,elevacion_reggaeton
2,514.0,elevacion_reggaeton
3,514.0,elevacion_reggaeton
4,511.0,elevacion_reggaeton
5,513.0,elevacion_reggaeton
6,510.0,elevacion_reggaeton
7,510.0,elevacion_reggaeton
8,508.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,516.0,elevacion_reggaeton
11,512.0,elevacion_reggaeton
12,509.0,elevacion_reggaeton
13,511.0,elevacion_reggaeton
14,512.0,elevacion_reggaeton
15,514.0,elevacion_reggaeton
0,517.0,elevacion_reggaeton
1,518.0,elevacion_reggaeton
2,517.0,elevacion_reggaeton
3,519.0,elevacion_reggaeton
4,527.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,513.0,elevacion_reggaeton
7,513.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,515.0,elevacion_reggaeton
10,512.0,elevacion_reggaeton
11,511.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,507.0,elevacion_reggaeton
14,503.0,elevacion_reggaeton
15,506.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,520.0,elevacion_reggaeton
2,512.0,elevacion_reggaeton
3,514.0,elevacion_reggaeton
4,514.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,522.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,518.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,515.0,elevacion_reggaeton
13,511.0,elevacion_reggaeton
14,508.0,elevacion_reggaeton
15,516.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,513.0,elevacion_reggaeton
2,517.0,elevacion_reggaeton
3,514.0,elevacion_reggaeton
4,516.0,elevacion_reggaeton
5,517.0,elevacion_reggaeton
6,515.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,514.0,elevacion_reggaeton
9,509.0,elevacion_reggaeton
10,508.0,elevacion_reggaeton
11,511.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,517.0,elevacion_reggaeton
15,516.0,elevacion_reggaeton
0,512.0,elevacion_reggaeton
1,515.0,elevacion_reggaeton
2,518.0,elevacion_reggaeton
3,523.0,elevacion_reggaeton
4,518.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,514.0,elevacion_reggaeton
7,509.0,elevacion_reggaeton
8,508.0,elevacion_reggaeton
9,509.0,elevacion_reggaeton
10,510.0,elevacion_reggaeton
11,511.0,elevacion_reggaeton
12,517.0,elevacion_reggaeton
13,515.0,elevacion_reggaeton
14,513.0,elevacion_reggaeton
15,510.0,elevacion_reggaeton
0,507.0,elevacion_reggaeton
1,509.0,elevacion_reggaeton
2,514.0,elevacion_reggaeton
3,517.0,elevacion_reggaeton
4,511.0,elevacion_reggaeton
5,512.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,520.0,elevacion_reggaeton
8,520.0,elevacion_reggaeton
9,513.0,elevacion_reggaeton
10,514.0,elevacion_reggaeton
11,515.0,elevacion_reggaeton
12,517.0,elevacion_reggaeton
13,515.0,elevacion_reggaeton
14,524.0,elevacion_reggaeton
15,525.0,elevacion_reggaeton
0,520.0,elevacion_reggaeton
1,518.0,elevacion_reggaeton
2,508.0,elevacion_reggaeton
3,498.0,elevacion_reggaeton
4,506.0,elevacion_reggaeton
5,512.0,elevacion_reggaeton
6,504.0,elevacion_reggaeton
7,504.0,elevacion_reggaeton
8,508.0,elevacion_reggaeton
9,508.0,elevacion_reggaeton
10,512.0,elevacion_reggaeton
11,519.0,elevacion_reggaeton
12,522.0,elevacion_reggaeton
13,506.0,elevacion_reggaeton
14,507.0,elevacion_reggaeton
15,509.0,elevacion_reggaeton
0,516.0,elevacion_reggaeton
1,515.0,elevacion_reggaeton
2,519.0,elevacion_reggaeton
3,517.0,elevacion_reggaeton
4,522.0,elevacion_reggaeton
5,532.0,elevacion_reggaeton
6,524.0,elevacion_reggaeton
7,516.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,522.0,elevacion_reggaeton
11,526.0,elevacion_reggaeton
12,531.0,elevacion_reggaeton
13,538.0,elevacion_reggaeton
14,536.0,elevacion_reggaeton
15,518.0,elevacion_reggaeton
0,510.0,elevacion_reggaeton
1,502.0,elevacion_reggaeton
2,495.0,elevacion_reggaeton
3,489.0,elevacion_reggaeton
4,500.0,elevacion_reggaeton
5,513.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,498.0,elevacion_reggaeton
8,487.0,elevacion_reggaeton
9,499.0,elevacion_reggaeton
10,508.0,elevacion_reggaeton
11,513.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,517.0,elevacion_reggaeton
14,523.0,elevacion_reggaeton
15,528.0,elevacion_reggaeton
0,511.0,elevacion_reggaeton
1,500.0,elevacion_reggaeton
2,509.0,elevacion_reggaeton
